c_ip,s_isint,s_pkts_all,s_ip,s_bytes_all,c_iscrypto,s_port,s_iscrypto,c_bytes_all,c_isint,c_pkts_all,fqdn,c_port,c_rst_cnt,c_ack_cnt,c_ack_cnt_p,c_bytes_uniq,c_pkts_data,c_pkts_retx,c_bytes_retx,c_pkts_ooo,c_syn_cnt,c_fin_cnt,s_rst_cnt,s_ack_cnt,s_ack_cnt_p,s_bytes_uniq,s_pkts_data,s_pkts_retx,s_bytes_retx,s_pkts_ooo,s_syn_cnt,s_fin_cnt,first,last,durat,c_first,s_first,c_last,s_last,c_first_ack,s_first_ack,con_t,p2p_t,http_t,c_rtt_avg,c_rtt_min,c_rtt_max,c_rtt_std,c_rtt_cnt,c_ttl_min,c_ttl_max,s_rtt_avg,s_rtt_min,s_rtt_max,s_rtt_std,s_rtt_cnt,s_ttl_min,s_ttl_max,p2p_st,ed2k_data,ed2k_sig,ed2k_c2s,ed2k_c2c,ed2k_chat,c_f1323_opt,c_tm_opt,c_win_scl,c_sack_opt,c_sack_cnt,c_mss,c_mss_max,c_mss_min,c_win_max,c_win_min,c_win_0,c_cwin_max,c_cwin_min,c_cwin_ini,c_pkts_rto,c_pkts_fs,c_pkts_reor,c_pkts_dup,c_pkts_unk,c_pkts_fc,c_pkts_unrto,c_pkts_unfs,c_syn_retx,s_f1323_opt,s_tm_opt,s_win_scl,s_sack_opt,s_sack_cnt,s_mss,s_mss_max,s_mss_min,s_win_max,s_win_min,s_win_0,s_cwin_max,s_cwin_min,s_cwin_ini,s_pkts_rto,s_pkts_fs,s_pkts_reor,s_pkts_dup,s_pkts_unk,s_pkts_fc,s_pkts_unrto,s_pkts_unfs,s_syn_retx,http_req_cnt,http_res_cnt,http_res,c_pkts_push,s_pkts_push,c_tls_SNI,s_tls_SCN,c_npnalpn,s_npnalpn,c_tls_sesid,c_last_handshakeT,s_last_handshakeT,c_appdataT,s_appdataT,c_appdataB,s_appdataB,dns_rslv,req_tm,res_tm,c_first_abs,c_durat,c_type,s_first_abs,s_durat,s_type,protocolo,etiqueta
192.168.137.186,1,5,34.206.207.218,0,0,443,0,0,1,6,a1g7wmxwoovxaz.iot.us-east-1.amazonaws.com,49809,1,1,0,0,0,4,4,0,5,0,0,5,0,0,0,4,4,0,5,0,1673626893777.405,1673626897663.1587,3885.754,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,310.70193,310.733,310.733,0.0,1,255,255,0.0,0.0,0.0,0.0,0,233,233,0,0,0,0,0,0,1,0,1,0,0,1460,0,0,49152,24576,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,8,0,0,1460,0,0,6882048,26883,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,192.168.137.1,1673626891962.1367,1673626892225.178,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.129,1,9,44.240.120.156,4344,0,443,0,517,1,14,-,54369,1,8,6,517,1,5,5,0,6,0,0,9,1,4344,2,5,5,0,6,0,1673626894016.6,1673626899951.165,5934.565,3677.284,4030.532,3677.284,5473.278,3677.281,4029.437,8192,0,0,369.234038,352.153,386.352,0.0,2,64,64,777.9931,460.927,1095.137,0.0,2,232,233,0,0,0,0,0,0,1,1,6,1,0,1460,517,517,4194240,65535,0,518,1,517,0,0,0,5,0,0,0,0,0,1,1,8,1,0,1460,2896,1448,6872832,26847,0,2896,1448,1448,0,0,0,5,0,0,0,0,0,0,0,---,1,0,a1.tuyaus.com,*.tuyaus.com,160,128,1,3677.284,5473.278,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.129,1,13,44.228.149.123,4657,0,443,0,643,1,16,-,54367,1,10,7,643,2,4,4,0,5,1,0,13,1,4657,5,5,5,0,6,1,1673626886593.946,1673626901956.706,15362.76,7422.658,7809.008,13353.291,13700.036,7422.657,7808.967,8192,0,0,361.835204,346.325,386.309,19.324469,4,64,64,1617.093764,458.142,3357.395,1534.535238,3,232,233,0,0,0,0,0,0,1,1,6,1,0,1460,517,126,4194240,65535,0,517,126,517,0,0,0,4,0,0,0,0,0,1,1,8,1,0,1460,2896,51,6872832,26847,0,2896,51,1448,0,0,0,5,0,0,0,0,0,0,0,---,2,3,a1.tuyaus.com,*.tuyaus.com,160,128,1,13353.291,13699.616,0.0,13700.036,0,4589,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.22,1,7,54.212.163.173,0,0,8886,0,0,1,5,-,52651,1,1,0,0,0,3,3,0,4,0,0,7,0,1,0,5,5,0,7,0,1673630156995.21,1673630180245.43,23250.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,71.481852,71.489,71.489,0.0,1,255,255,0.0,0.0,0.0,0.0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,2920,2920,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1460,0,0,4096,4096,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.141,1,11,35.161.158.54,456,0,8886,0,134,1,8,-,45800,1,4,1,67,2,4,70,0,4,0,0,11,2,152,3,7,309,0,6,0,1673630176120.791,1673630195501.091,19380.3,9365.258,9437.045,12246.651,18742.493,9365.254,9437.044,8192,0,0,82.245388,71.786,92.713,0.0,2,255,255,0.0,0.0,0.0,0.0,0,40,41,0,0,0,0,0,0,0,0,0,0,0,1460,67,67,4380,4380,0,67,67,67,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1460,152,152,4096,4029,0,152,152,152,2,0,0,5,0,0,0,0,0,0,0,---,1,1,-,-,0,0,0,12246.651,18742.493,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.129,1,4,17.167.200.72,0,0,443,0,0,1,2,-,56844,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,3,3,0,4,0,1673876679716.849,1673876697210.297,17493.448,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1012.80372,1012.905,1012.905,0.0,1,64,64,0.0,0.0,0.0,0.0,0,45,45,0,0,0,0,0,0,1,1,6,1,0,1460,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,0,1460,0,0,22241280,43440,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.44,1,14,35.162.13.26,624,0,8886,0,286,1,9,-,42838,1,6,1,219,4,3,69,0,3,0,0,14,4,312,5,6,316,0,5,0,1673878968254.337,1673878992394.2607,24139.924,6134.928,6239.233,17975.534,24109.817,6117.733,6239.232,8192,0,0,108.596785,103.008,121.061,8.399072,4,255,255,0.0,0.0,0.0,0.0,0,232,233,0,0,0,0,0,0,0,0,0,0,0,1460,91,61,4380,4228,0,91,61,67,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1460,160,69,4096,3877,0,160,91,152,3,0,0,4,0,0,0,0,0,0,0,---,3,3,-,-,0,0,0,17975.534,24109.817,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.162,1,7,192.168.137.38,1264,0,80,0,240,1,5,-,54196,0,3,1,240,1,1,1,0,2,1,0,7,2,1264,1,2,2,0,3,1,1673539889894.452,1673539892165.317,2270.865,2072.415,2137.925,2072.415,2137.925,2072.415,2134.802,1,0,1,62.382921,62.34,62.428,0.044034,3,64,64,70.481952,70.489,70.489,0.0,1,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,240,240,8222720,64128,0,240,240,240,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1460,1264,1264,233600,29200,0,1264,1264,1264,0,0,0,2,0,0,0,0,0,1,1,200,1,1,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.42,1,4,47.254.89.110,0,0,443,0,0,1,3,-,55512,1,0,0,0,0,1,1,0,2,0,0,4,0,0,0,3,3,0,4,0,1673879928695.694,1673879939571.0107,10875.317,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,138.909109,138.923,138.923,0.0,1,64,64,0.0,0.0,0.0,0.0,0,47,47,0,0,0,0,0,0,1,1,3,1,0,1160,0,0,185600,23200,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,1,0,1460,0,0,3706880,28960,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.112,1,6,35.161.249.48,0,0,20443,0,0,1,7,-,62618,1,1,0,0,0,5,5,0,6,0,0,6,0,0,0,5,5,0,6,0,1673971008678.778,1673971022493.0747,13814.297,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,94.527547,94.537,94.537,0.0,1,255,255,0.0,0.0,0.0,0.0,0,232,232,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,4380,4380,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1460,0,0,26883,26883,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.129,1,11,69.168.130.48,0,0,443,0,0,1,8,-,58500,1,0,0,0,0,6,6,0,7,0,0,11,0,0,0,10,10,0,11,0,1673971017518.859,1673971029205.493,11686.634,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,56.225377,56.231,56.231,0.0,1,64,64,0.0,0.0,0.0,0.0,0,56,56,0,0,0,0,0,0,1,1,6,1,0,1460,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,9,0,0,1460,0,0,33553920,65535,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
